User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
ₘ.ₐ. ₗₐₚᵢₙₛₖᵢ,@Empressmish13,2022-05-31T23:57:00.000Z,"ₘ.ₐ. ₗₐₚᵢₙₛₖᵢ
@Empressmish13
·
Jun 1, 2022Replying to 
@SenTedCruz
If only the POTUS actually did control the price of gas.
#StopPriceGouging #CorporateGreed
@exxonmobil
 @Shell
 @conocophillips
 @bp_America
 @WeAreOxy
 @Chevron
 @APIenergy
 @DevonEnergy
 @MarathonOil
 @ParPacific
 @DelekUSHoldings
 @PXDtweets
 @SinclairOilCorp
 @EOG_news
2
8",,2,8
ₘ.ₐ. ₗₐₚᵢₙₛₖᵢ,@Empressmish13,2022-05-31T23:51:34.000Z,"ₘ.ₐ. ₗₐₚᵢₙₛₖᵢ
@Empressmish13
·
Jun 1, 2022Replying to 
@Jim_Jordan
If only the POTUS actually did control the price of gas.
#StopPriceGouging #CorporateGreed
@exxonmobil
 @Shell
 @conocophillips
 @bp_America
 @WeAreOxy
 @Chevron
 @APIenergy
 @DevonEnergy
 @MarathonOil
 @ParPacific
 @DelekUSHoldings
 @PXDtweets
 @SinclairOilCorp
 @EOG_news",,,
ₘ.ₐ. ₗₐₚᵢₙₛₖᵢ,@Empressmish13,2022-05-31T23:28:28.000Z,"ₘ.ₐ. ₗₐₚᵢₙₛₖᵢ
@Empressmish13
·
Jun 1, 2022Replying to 
@RepHartzler
If only the POTUS actually did control the price of gas.
#StopPriceGouging #CorporateGreed
@exxonmobil
 @Shell
 @conocophillips
 @bp_America
 @WeAreOxy
 @Chevron
 @APIenergy
 @DevonEnergy
 @MarathonOil
 @ParPacific
 @DelekUSHoldings
 @PXDtweets
 @SinclairOilCorp
 @EOG_news
1",,,1
Kat,@ktruane,2022-05-31T23:20:07.000Z,"Kat
@ktruane
·
Jun 1, 2022Replying to 
@ItalixnPrideAcc
conservation sponsored by conocophillips
1",,,1
THEP,@THEPANNDA,2022-05-31T21:42:16.000Z,"THEP
@THEPANNDA
·
May 31, 2022Replying to 
@R0gueRepublican
Yes, ExxonMobil pocketed $5.5 billion after taxes; Chevron gained $6.3 billion; and ConocoPhillips made $5.8 billion. And then gave Republicans 100million to looks the other way
opensecrets.org
Oil & Gas
1",1,,
ₘ.ₐ. ₗₐₚᵢₙₛₖᵢ,@Empressmish13,2022-05-31T21:32:06.000Z,"ₘ.ₐ. ₗₐₚᵢₙₛₖᵢ
@Empressmish13
·
May 31, 2022Replying to 
@WSJopinion
 and 
@Jim_Jordan
#StopPriceGouging #CorporateGreed
@exxonmobil
 @Shell
 @conocophillips
 @bp_America
 @WeAreOxy
 @Chevron
 @APIenergy
 @DevonEnergy
 @MarathonOil
 @ParPacific
 @DelekUSHoldings
 @PXDtweets
 @SinclairOilCorp
 @EOG_news
1
1
3",1,1,3
Arts Commons Education,@yycARTSed,2022-05-31T20:54:42.000Z,"Arts Commons Education
@yycARTSed
·
May 31, 2022“In the right light, at the right time, everything is extraordinary.” - Aaron Rose

Who knew paper squares could be so much fun! Grade 1 & 2 students from 
@brs_school
 made it snow in the Martha Cohen Theatre today 
@yycARTS
. 
@yycCCOM
 @conocophillips
 #HubForInspiredLearning
1
5
14",1,5,14
feifei,@PeckDash,2022-05-31T20:35:08.000Z,"feifei
@PeckDash
·
May 31, 2022U.S. energy stocks rose collectively, with Exxon Mobil (NYSE:XOM) up 1.3% and ConocoPhillips (NYSE:COP) up 1.5%
3",,,3
Eva Smith,@tenalivinay1,2022-05-31T20:35:00.000Z,"Eva Smith
@tenalivinay1
·
May 31, 2022U.S. energy stocks rose collectively, with Exxon Mobil (NYSE:XOM) up 1.3% and ConocoPhillips (NYSE:COP) up 1.5%
1",,,1
yunus kınay,@beyk3484,2022-05-31T19:56:52.000Z,"yunus kınay
@beyk3484
·
May 31, 2022отлично
1",,1,
