User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
WKRB News,@WKRBNews,2018-03-29T23:45:28.000Z,"WKRB News
@WKRBNews
·
Mar 30, 2018Zacks: Analysts Anticipate International Paper Co $IP Will Announce Quarterly Sales of $5.44 Billion http://wkrb13.com/?p=62598 #markets",,,
ResearchPool,@ResearchPool,2018-03-29T11:08:28.000Z,"ResearchPool
@ResearchPool
·
Mar 29, 2018$UFS #Wausau Paper Corporation Resolute Forest Products Inc Neenah Paper, Inc. Kimberly-Clark Corporation International Paper Co Clearwater Paper Corporation Domtar Corporation (UFS) - Financial and Strategic SWOT Analysis Review http://twib.in/l/zKq9MGEbdXkr #markets",,,
GNWLive,@GNWLive,2018-03-28T13:48:34.000Z,"GNWLive
@GNWLive
·
Mar 28, 2018Invesco ltd : Form 8.3 - International Paper Co. http://bit.ly/2pMuPMx",,,
Dakota Financial,@dakotafinancial,2018-03-27T16:48:58.000Z,"Dakota Financial
@dakotafinancial
·
Mar 27, 2018Zacks: Brokerages Anticipate International Paper Co $IP to Announce $0.91 EPS http://zpr.io/nyYsy #stocks",,,
MarketBeat,@MarketBeatCom,2018-03-27T16:48:58.000Z,"MarketBeat
@MarketBeatCom
·
Mar 27, 2018Zacks: Brokerages Anticipate International Paper Co $IP to Announce $0.91 EPS http://zpr.io/nyYsy",,,
MarketBeat,@MarketBeatCom,2018-03-27T14:17:41.000Z,"MarketBeat
@MarketBeatCom
·
Mar 27, 2018Renaissance Technologies LLC Takes $21.13 Million Position in International Paper Co $IP http://zpr.io/nyZrK",,,
US Banking News,@AmericanBanking,2018-03-27T08:44:59.000Z,"US Banking News
@AmericanBanking
·
Mar 27, 2018International Paper Co $IP Shares Sold by BRITISH COLUMBIA INVESTMENT MANAGEMENT Corp http://americanbankingnews.com/?p=6187367 #stocks",,,
Watchlist News,@WatchlistN,2018-03-27T08:39:01.000Z,"Watchlist News
@WatchlistN
·
Mar 27, 2018BRITISH COLUMBIA INVESTMENT MANAGEMENT Corp Has $12.42 Million Stake in International Paper Co $IP http://zpr.io/nyfBj",,,
ResearchPool,@ResearchPool,2018-03-26T17:22:23.000Z,"ResearchPool
@ResearchPool
·
Mar 26, 2018$IP #International Paper Co. International Papers Efforts to Purchase Smurfit Kappa Remain Thwarted | Following a period of hesitant conversation between International Paper and Smurfit Kappa, International Paper raised its offer for t... http://twib.in/l/9MXjGx5rkXXE #markets #Equity",,,
The Lincolnian,@ThisLincolnian,2018-03-26T10:19:01.000Z,"The Lincolnian
@ThisLincolnian
·
Mar 26, 2018International Paper Co $IP Expected to Announce Quarterly Sales of $5.44 Billion http://thelincolnianonline.com/?p=1119551",,,
Community Financial,@CFinancialNews,2018-03-26T09:07:32.000Z,"Community Financial
@CFinancialNews
·
Mar 26, 2018International Paper Co $IP Expected to Announce Quarterly Sales of $5.44 Billion http://americanbankingnews.com/?p=6175755 #markets",,,
Transcript Daily,@TranscriptDaily,2018-03-26T09:05:43.000Z,"Transcript Daily
@TranscriptDaily
·
Mar 26, 2018International Paper Co $IP Expected to Announce Quarterly Sales of $5.44 Billion http://zpr.io/nAiyt",,,
Mehrdad Yousefi,@MY21_Oracle,2018-03-26T07:37:47.000Z,"Mehrdad Yousefi
@MY21_Oracle
·
Mar 26, 2018Smurfit Kappa on said it has received a revised takeover offer from the International Paper Co  - which it has again rejected. Under International Paper's revised offer, Smurfit shareholders would receive EUR25.25 in cash, and 0.3028 of a new share in International Paper.",,,
Oliver Haill WFH,@olihaillbiz,2018-03-26T06:09:06.000Z,"Oliver Haill WFH
@olihaillbiz
·
Mar 26, 2018Smurfit Kappa has rejected a slightly higher bid from International Paper Co of €37.54 per share (reduced to €36.9 after payment of divi) up from prev offer of €36.46",,,
Enterprise Leader,@EnterpriseLeade,2018-03-26T04:55:40.000Z,"Enterprise Leader
@EnterpriseLeade
·
Mar 26, 2018King Luther Capital Management Corp Has $1.45 Million Position in International Paper Co $IP  http://theenterpriseleader.com/?p=289891",,,
Enterprise Leader,@EnterpriseLeade,2018-03-26T01:58:03.000Z,"Enterprise Leader
@EnterpriseLeade
·
Mar 26, 2018Commerce Bank Increases Holdings in International Paper Co $IP  http://theenterpriseleader.com/?p=445484",,,
Daily Political,@dailypoliticaln,2018-03-25T17:00:07.000Z,"Daily Political
@dailypoliticaln
·
Mar 25, 2018Xact Kapitalforvaltning AB Increases Holdings in International Paper Co $IP http://dailypolitical.com/?p=1866335",,,
Ticker Report,@TickerReport,2018-03-25T16:59:31.000Z,"Ticker Report
@TickerReport
·
Mar 25, 2018Xact Kapitalforvaltning AB Has $4.14 Million Stake in International Paper Co $IP http://tickerreport.com/?p=3299989",,,
Enterprise Leader,@EnterpriseLeade,2018-03-25T13:14:51.000Z,"Enterprise Leader
@EnterpriseLeade
·
Mar 25, 2018Clearbridge Investments LLC Cuts Position in International Paper Co $IP  http://theenterpriseleader.com/?p=438799",,,
MidEast Times,@midetimes,2018-03-25T12:21:48.000Z,"MidEast Times
@midetimes
·
Mar 25, 2018Wagner Wealth Management LLC Invests $112,000 in International Paper Co $IP Stock http://dailypolitical.com/?p=1865249 #stocks",,,
Daily Political,@dailypoliticaln,2018-03-25T12:21:46.000Z,"Daily Political
@dailypoliticaln
·
Mar 25, 2018Wagner Wealth Management LLC Invests $112,000 in International Paper Co $IP Stock http://dailypolitical.com/?p=1865249",,,
Enterprise Leader,@EnterpriseLeade,2018-03-25T10:46:09.000Z,"Enterprise Leader
@EnterpriseLeade
·
Mar 25, 2018International Paper Co $IP Shares Sold by Caxton Associates LP  http://theenterpriseleader.com/?p=436793",,,
Transcript Daily,@TranscriptDaily,2018-03-25T09:19:58.000Z,"Transcript Daily
@TranscriptDaily
·
Mar 25, 2018International Paper Co $IP Holdings Reduced by Chemical Bank http://zpr.io/nAKkj",,,
Transcript Daily,@TranscriptDaily,2018-03-24T13:56:08.000Z,"Transcript Daily
@TranscriptDaily
·
Mar 24, 2018$0.91 EPS Expected for International Paper Co $IP This Quarter http://zpr.io/nAYnu",,,
Community Financial,@CFinancialNews,2018-03-24T13:54:21.000Z,"Community Financial
@CFinancialNews
·
Mar 24, 2018$0.91 EPS Expected for International Paper Co $IP This Quarter http://americanbankingnews.com/?p=6154568 #markets",,,
Community Financial,@CFinancialNews,2018-03-24T12:15:00.000Z,"Community Financial
@CFinancialNews
·
Mar 24, 2018Sterling Capital Management LLC Has $2.67 Million Position in International Paper Co $IP http://americanbankingnews.com/?p=6153698 #markets",,,
US Banking News,@AmericanBanking,2018-03-24T12:14:59.000Z,"US Banking News
@AmericanBanking
·
Mar 24, 2018Sterling Capital Management LLC Has $2.67 Million Position in International Paper Co $IP http://americanbankingnews.com/?p=6153698 #stocks",,,
Dakota Financial,@dakotafinancial,2018-03-24T08:55:58.000Z,"Dakota Financial
@dakotafinancial
·
Mar 24, 2018International Paper Co $IP Position Lifted by BB&T Securities LLC http://zpr.io/nApr8 #stocks",,,
MarketBeat,@MarketBeatCom,2018-03-24T08:55:58.000Z,"MarketBeat
@MarketBeatCom
·
Mar 24, 2018International Paper Co $IP Position Lifted by BB&T Securities LLC http://zpr.io/nApr8",,,
US Banking News,@AmericanBanking,2018-03-24T08:52:54.000Z,"US Banking News
@AmericanBanking
·
Mar 24, 2018International Paper Co $IP Position Lifted by BB&T Securities LLC http://americanbankingnews.com/?p=6151619 #stocks",,,
Marcus Callaway,@marcuscallawayr,2018-03-24T05:31:49.000Z,"Marcus Callaway
@marcuscallawayr
·
Mar 24, 2018International Paper Co (IP) Shares Bought by LPL Financial LLC http://topix.com/business/construction/2018/03/international-paper-co-ip-shares-bought-by-lpl-financial-llc?fromrss=1…",,,
HCI Railings,@HCIRailings,2018-03-24T03:17:31.000Z,"HCI Railings
@HCIRailings
·
Mar 24, 2018International Paper Co (IP) Shares Bought by LPL Financial LLC http://smv.li/QMBb10
1",,1,
Ticker Report,@TickerReport,2018-03-23T22:14:36.000Z,"Ticker Report
@TickerReport
·
Mar 23, 2018Green Square Capital LLC Raises Position in International Paper Co $IP http://tickerreport.com/?p=3293963",,,
Community Financial,@CFinancialNews,2018-03-23T22:14:02.000Z,"Community Financial
@CFinancialNews
·
Mar 23, 2018Green Square Capital LLC Grows Position in International Paper Co $IP http://americanbankingnews.com/?p=6147925 #markets",,,
Dakota Financial,@dakotafinancial,2018-03-23T21:15:39.000Z,"Dakota Financial
@dakotafinancial
·
Mar 23, 2018International Paper Co $IP Shares Bought by OLD Mutual Customised Solutions Proprietary Ltd. http://zpr.io/nAfTZ #stocks",,,
MarketBeat,@MarketBeatCom,2018-03-23T21:15:38.000Z,"MarketBeat
@MarketBeatCom
·
Mar 23, 2018International Paper Co $IP Shares Bought by OLD Mutual Customised Solutions Proprietary Ltd. http://zpr.io/nAfTZ",,,
US Banking News,@AmericanBanking,2018-03-23T21:13:19.000Z,"US Banking News
@AmericanBanking
·
Mar 23, 2018International Paper Co $IP Shares Bought by OLD Mutual Customised Solutions Proprietary Ltd. http://americanbankingnews.com/?p=6146997 #stocks",,,
MidEast Times,@midetimes,2018-03-23T20:29:38.000Z,"MidEast Times
@midetimes
·
Mar 23, 2018MetLife Investment Advisors LLC Invests $7.40 Million in International Paper Co $IP Stock http://dailypolitical.com/?p=1859799 #stocks",,,
Ticker Report,@TickerReport,2018-03-23T20:27:16.000Z,"Ticker Report
@TickerReport
·
Mar 23, 2018MetLife Investment Advisors LLC Acquires New Position in International Paper Co $IP http://tickerreport.com/?p=3293464",,,
Enterprise Leader,@EnterpriseLeade,2018-03-23T19:56:20.000Z,"Enterprise Leader
@EnterpriseLeade
·
Mar 23, 2018International Paper Co $IP Shares Bought by Verition Fund Management LLC  http://theenterpriseleader.com/?p=404508",,,
Transcript Daily,@TranscriptDaily,2018-03-23T19:56:09.000Z,"Transcript Daily
@TranscriptDaily
·
Mar 23, 2018Verition Fund Management LLC Has $497,000 Holdings in International Paper Co $IP http://zpr.io/nARXj",,,
MidEast Times,@midetimes,2018-03-23T19:54:31.000Z,"MidEast Times
@midetimes
·
Mar 23, 2018International Paper Co $IP Shares Bought by LPL Financial LLC http://dailypolitical.com/?p=1859607 #stocks",,,
Daily Political,@dailypoliticaln,2018-03-23T19:54:29.000Z,"Daily Political
@dailypoliticaln
·
Mar 23, 2018International Paper Co $IP Shares Bought by LPL Financial LLC http://dailypolitical.com/?p=1859607",,,
Community Financial,@CFinancialNews,2018-03-23T19:53:23.000Z,"Community Financial
@CFinancialNews
·
Mar 23, 2018International Paper Co $IP Shares Bought by LPL Financial LLC http://americanbankingnews.com/?p=6146021 #markets",,,
The Lincolnian,@ThisLincolnian,2018-03-23T18:27:51.000Z,"The Lincolnian
@ThisLincolnian
·
Mar 23, 2018Green Square Capital LLC Grows Position in International Paper Co $IP http://thelincolnianonline.com/?p=1069042",,,
GNWLive,@GNWLive,2018-03-23T14:28:39.000Z,"GNWLive
@GNWLive
·
Mar 23, 2018Invesco ltd : Form 8.3 - International Paper Co. http://bit.ly/2I1cUbv",,,
Ticker Report,@TickerReport,2018-03-23T09:58:16.000Z,"Ticker Report
@TickerReport
·
Mar 23, 2018Cornerstone Capital Management Holdings LLC. Grows Holdings in International Paper Co $IP http://tickerreport.com/?p=3291262",,,
MidEast Times,@midetimes,2018-03-23T09:57:53.000Z,"MidEast Times
@midetimes
·
Mar 23, 2018Cornerstone Capital Management Holdings LLC. Acquires 6,696 Shares of International Paper Co $IP http://dailypolitical.com/?p=1857622 #stocks",,,
Daily Political,@dailypoliticaln,2018-03-23T09:57:52.000Z,"Daily Political
@dailypoliticaln
·
Mar 23, 2018Cornerstone Capital Management Holdings LLC. Acquires 6,696 Shares of International Paper Co $IP http://dailypolitical.com/?p=1857622",,,
The Lincolnian,@ThisLincolnian,2018-03-22T23:32:10.000Z,"The Lincolnian
@ThisLincolnian
·
Mar 23, 2018International Paper Co $IP Given Consensus Recommendation of “Hold” by Analysts http://thelincolnianonline.com/?p=1055390",,,
WKRB News,@WKRBNews,2018-03-22T23:32:08.000Z,"WKRB News
@WKRBNews
·
Mar 23, 2018International Paper Co $IP Receives Average Rating of “Hold” from Analysts http://wkrb13.com/?p=40495 #markets",,,
Ticker Report,@TickerReport,2018-03-22T23:31:23.000Z,"Ticker Report
@TickerReport
·
Mar 23, 2018International Paper Co $IP Given Consensus Recommendation of “Hold” by Analysts http://tickerreport.com/?p=3289980",,,
Transcript Daily,@TranscriptDaily,2018-03-22T20:35:22.000Z,"Transcript Daily
@TranscriptDaily
·
Mar 22, 20185,460 Shares in International Paper Co $IP Purchased by WealthPLAN Partners LLC http://zpr.io/nhcuN",,,
Community Financial,@CFinancialNews,2018-03-22T20:31:45.000Z,"Community Financial
@CFinancialNews
·
Mar 22, 2018Sawtooth Solutions LLC Has $1.50 Million Stake in International Paper Co $IP http://americanbankingnews.com/?p=6134648 #markets",,,
US Banking News,@AmericanBanking,2018-03-22T20:31:44.000Z,"US Banking News
@AmericanBanking
·
Mar 22, 2018Sawtooth Solutions LLC Has $1.50 Million Stake in International Paper Co $IP http://americanbankingnews.com/?p=6134648 #stocks",,,
