User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Community Financial,@CFinancialNews,2020-05-05T23:35:22.000Z,"Community Financial
@CFinancialNews
·
May 6, 2020Insider Selling: Newmont Goldcorp Corp $NEM CEO Sells 4,000 Shares of Stock http://americanbankingnews.com/?p=14402743 #markets",,,
US Banking News,@AmericanBanking,2020-05-05T23:35:21.000Z,"US Banking News
@AmericanBanking
·
May 6, 2020Insider Selling: Newmont Goldcorp Corp $NEM CEO Sells 4,000 Shares of Stock http://americanbankingnews.com/?p=14402743 #stocks",,,
WKRB News,@WKRBNews,2020-05-05T23:02:55.000Z,"WKRB News
@WKRBNews
·
May 6, 2020Insider Selling: Newmont Goldcorp Corp $NEM CEO Sells 4,000 Shares of Stock http://wkrb13.com/?p=1777397 #markets",,,
tom wolf,@tgwtom,2020-05-05T22:48:13.000Z,"tom wolf
@tgwtom
·
May 6, 2020Impressive:
""To date, Newmont 
@NewmontCorp
 has no confirmed cases of #COVID-19 at any of its sites thanks to the discipline of our workforce in adhering to these protocols."" https://seekingalpha.com/article/4343253-newmont-nem-ceo-tom-palmer-on-q1-2020-results-earnings-call-transcript?part=single… #goldminers
seekingalpha.com
Newmont (NEM) CEO, Tom Palmer on Q1 2020 Results - Earnings Call Transcript
Newmont Corporation (NYSE:NYSE:NEM) Q1 2020 Earnings Conference Call May 5, 2020 9:00 AM ETCompany ParticipantsTom Palmer - President, Chief Executive Officer Rob Atkinson - Chief Operating...",,,
Patricia Struve,@patystruve,2020-05-05T21:20:48.000Z,"Patricia Struve
@patystruve
·
May 5, 2020@NewmontCorp
 Good afternoon, I hace been contacted from your offices in Quito - Ecuador to be hired and I am being charged an amount of USD $76 I need to know if this is true please",,,
Judson Investments,@judsoninvest,2020-05-05T20:51:06.000Z,"Judson Investments
@judsoninvest
·
May 5, 2020An oddball for a “They Kept Buying Back Stock in 1Q20” list:  Newmont Corp. $NEM.  Bought $800mm in last 2 Q’s.  Dividend +79%.  

At current gold price (Always a BIG if) the co. would generate $15bn of free cash in the next 5 years & return half to shareholders.  $52bn mkt cap.
1",,,1
Financial News Now,@FinNewsNow,2020-05-05T20:00:36.000Z,"Financial News Now
@FinNewsNow
·
May 5, 2020#MiningStocks That Could Benefit from the Challenges from #COVID19:  https://bit.ly/FNN-COVID19-MiningStocks…
@CLMCorp
 $CLM $SIOCF
@NewmontCorp
 $NGT $NEM
@TeckResources
 $TECK.A $TECK.B $TECK
#Pretium $PVG
#Millrock $MRO $MLRKF
@Resolution_LTD
 $RML
@Trilogy_Alaska
 $TMQ 
#South32 $S32 #microcaps",,,
Ernest Scheyder,@ErnestScheyder,2020-05-05T17:11:06.000Z,"Ernest Scheyder
@ErnestScheyder
·
May 5, 2020Gold miner 
@NewmontCorp
's quarterly profit surges as investors hoard the yellow metal amid COVID-19 market https://reut.rs/2YANVat

by 
@Aru_Kumar94
 #gold #mining $NEM
reuters.com
Gold miner Newmont's profit surges on higher production, rise in bullion prices
Gold miner Newmont Corp's adjusted profit nearly doubled on Tuesday boosted by higher production and a surge in the prices of the precious metal, as investors rushed to the safe-haven asset amid...
1
1",,1,1
MasterMetals,@MasterMetals,2020-05-05T13:41:12.000Z,"MasterMetals
@MasterMetals
·
May 5, 2020#Gold Miner 
@NewmontCorp
 $NEM earnings surge more than ninefold  https://ft.com/content/8b020472-38c1-4c05-9385-5ab1906ac35b?desktop=true&segmentId=d8d3e364-5197-20eb-17cf-2437841d178a… #MasterMetals 
@hjesanderson
 @FT
ft.com
Newmont earnings surge more than ninefold
World’s biggest gold miner reaps rewards of pandemic price effect and Goldcorp acquisition
3",,,3
Minnesota Miners,@MinnesotaMiners,2020-05-05T13:31:44.000Z,"Minnesota Miners
@MinnesotaMiners
·
May 5, 2020.
@MTMiningAssoc
 .
@TSRA_MT
 .
@MontanaMinded
 .
@ColstripUnited
 .
@BlkButteCopper
 .
@HeclaMontana
 .
@Utah_Mining
 @kennecottutah
 .
@azmining
 @resolutioncu
 .
@ColoradoMining
 @NewmontCorp
 .
@nevadamining
 @BarrickGold
 .
@IdahoMining
 @MidasIdaho .
@AlaskaMiners
 .
@PTFAlaska
 @MinnesotaMiners
Minnesota Miners
@MinnesotaMiners
·
May 5, 2020
.@SenatorTester Are you happy that you backed this guy to be a judge. https://montanadailygazette.com/2020/05/04/testers-liberal-judge-shuts-down-montana-oil-leases-due-to-environmental-concerns/?fbclid=IwAR10ydSjMmyS-l-rBD3PRO5oB8jOlyG3RoTqs20KHOyjGxX6vpNw8y5u8HA… He has done more to kill jobs in Montana than anybody. From logging to mining to gas & oil how many 1,000s of jobs have been delayed by his biased rulings? Shame on you. @MinnesotaMiners
7
3",,7,3
