User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Newmont Corporation,@NewmontCorp,2022-03-31T17:00:35.000Z,"Newmont Corporation
@NewmontCorp
·
Mar 31, 2022.
@SPGlobalRatings
 has upgraded Newmont’s issuer credit rating to BBB+ from BBB with a stable outlook. This is supported by our balance sheet strength and disciplined capital allocation priorities as well as higher future production and improving costs. https://bit.ly/3qQyR5O
2",,,2
Quantcha Trade Ideas,@QuantchaIdeas,2022-03-31T16:05:28.000Z,"Quantcha Trade Ideas
@QuantchaIdeas
·
Mar 31, 202252-Week High Alert: Trading today’s movement in NEWMONT CORP $NEM https://ideas.quantcha.com/2022/03/31/52-week-high-alert-trading-todays-movement-in-newmont-corp-nem/…",,,
Japan Gold Corp.,@japangoldcorp,2022-03-31T16:05:00.000Z,"Japan Gold Corp.
@japangoldcorp
·
Mar 31, 2022With the support of 
@NewmontCorp
, Japan Gold retains two projects outside the Barrick Alliance of which we develop ourselves — the Ikutahara and Ohra-Takamine projects which are the most advanced projects in our portfolio.

Learn more.

$JG.V $JGLDF #Gold #Exploration
japangold.com
Japan Gold Independent Projects | Japan Gold",,,
,@_CryptoSam,2022-03-31T13:53:42.000Z,"@_CryptoSam
·
Mar 31, 2022$NEM Newmont Corp. 3M

The worlds largest Gold ore mining company acts as a great index for metal miners

quite the bullish construct on the quarterly chart, notes on the chart (3M candle closes tonight!!!)
1
2",,1,2
Mining Shared Value,@ewb_msv,2022-03-31T12:16:02.000Z,"Mining Shared Value
@ewb_msv
·
Mar 31, 2022.
@NewmontCorp
 demonstrating #mining #localprocurement best practice this week in Timmins by proactively presenting its spending data, training initiatives, and plans for the future. Coverage by CTV: https://northernontario.ctvnews.ca/video?cid=sm%3Atrueanthem%3Actvnorthernontario%3Atwitterpost&clipId=2412349&taid=62438f906d68c20001641663&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter… 
@theminingstory
 @OntMiningAssoc
 #localcontent #ESG
Timmins Chamber
@TimminsChamber
·
Mar 29, 2022
Mining is big business for our community. Thank you @NewmontCorp for spending in our community as much as possible. The local impact between procurement and salaries speaks volumes. #miningmatters
4
4",,4,4
Andrew Autio,@AndrewAutio,2022-03-31T02:09:01.000Z,"Andrew Autio
@AndrewAutio
·
Mar 31, 2022“I’d like to say it’s not just ‘the future’ because for us, it’s our present. We’re operating a state-of-the art-mining operation with a lot of technology, one of them being electric battery vehicles"" says 
@NewmontCorp
 GM
timminspress.com
Newmont lays out its plans for operations in Timmins",,,
Newmont Corporation,@NewmontCorp,2022-03-30T11:33:15.000Z,"Newmont Corporation
@NewmontCorp
·
Mar 30, 2022Newmont is announcing that it has entered into a definitive agreement with Skeena Resources to acquire properties in Tahltan Territory in northern B.C., conditional upon the successful completion of Skeena’s proposed acquisition of QuestEx Gold & Copper.
newmont.com
Newmont to Acquire Properties to Support Land Use Planning in Tahltan Territory
Planned Acquisition Intended to Protect and Conserve Lands Under Tahltan Stewardship Initiative Today, Newmont Corporation (NYSE:NEM, TSX:NGT) announced that it has entered into a definitive agreem...
1
5",,1,5
Newmont Corporation,@NewmontCorp,2022-03-29T20:45:07.000Z,"Newmont Corporation
@NewmontCorp
·
Mar 29, 2022This week, the 
@MLInstitute
, with support from Newmont’s Global Center for Indigenous Community Relations, hosted a webinar to evaluate the current state of Indigenous relations in the mining industry.

Watch the webinar: https://bit.ly/36WayfI
2
5",,2,5
Promineria.com,@portal_mineria,2022-03-29T17:15:00.000Z,"Promineria.com
@portal_mineria
·
Mar 29, 2022Newmont, la primera compañía minera de oro mundial, extiende su negocio a Europa
https://promineria.com/?p=nota&id=15057…
#Minería #Europa 
@NewmontCorp",,,
Timmins Chamber,@TimminsChamber,2022-03-29T16:36:00.000Z,"Timmins Chamber
@TimminsChamber
·
Mar 29, 2022Mining is big business for our community. Thank you 
@NewmontCorp
 for spending in our community as much as possible. The local impact between procurement and salaries speaks volumes. #miningmatters
3
4",,3,4
Newcore Gold,@NewcoreGold,2022-03-29T14:56:34.000Z,"Newcore Gold
@NewcoreGold
·
Mar 29, 2022The 4 senior gold producers in-country are: AngloGold Ashanti, 
@NewmontCorp
, 
@GoldFields_LTD
, 
@kinrossgold",,,
Newmont Corporation,@NewmontCorp,2022-03-28T20:02:07.000Z,"Newmont Corporation
@NewmontCorp
·
Mar 28, 2022Newmont is honored to be one of 74 publicly traded companies selected for The Globe and Mail’s 2022 
@globebusiness
 “Women Lead Here” list seal, with 43% of our executive officers being female – reinforcing our commitment to gender parity in the workplace. 

#ROBWomenLeadHere
1
5",,1,5
Macdonald-Laurier Institute,@MLInstitute,2022-03-28T15:19:09.000Z,"Macdonald-Laurier Institute
@MLInstitute
·
Mar 28, 2022Speaking now: John Mullally, Sr. Director of Sustainability and External Relations for 
@NewmontCorp
 Canada
Macdonald-Laurier Institute
@MLInstitute
Mining, Indigenous Communities, and our Resource-Dependent Future: Event One",,,
CIM.ORG,@CIMorg,2022-03-28T13:00:16.000Z,"CIM.ORG
@CIMorg
·
Mar 28, 2022We're welcoming Vice President & CTO of 
@NewmontCorp
, 
@DeanRGehring
, as one of our featured panelists on our Monday opening panel, ""Future Needs of the Industry"". Learn more about the panel here: https://convention.cim.org/2022/en/program/tuesday-opening-general-panel/…
1",,1,
NR Private Market,@MarketNr,2022-03-28T07:51:59.000Z,"NR Private Market
@MarketNr
·
Mar 28, 2022Fresh off the back of news of their Exploration Alliance Agreement and #investment with 
@NewmontCorp
, welcome to 
@ArianaResources
, now resident in the NR Private Market Investor Lounge. 
https://lounge.nrprivatemarket.com/ariana-resources/… 
#Turkey #mining #gold
1
3",,1,3
FormWhispers,@formwhisperscom,2022-03-26T03:19:16.000Z,"FormWhispers
@formwhisperscom
·
Mar 26, 2022#FWSells $NEM Gehring Dean, EVP & CTO of NEWMONT Corp /DE/ sold 4,477 shares on 2022-03-23. https://formwhispers.com/s?t=NEM",,,
Comrade Index Card,@card_file2,2022-03-26T02:21:47.000Z,"Comrade Index Card
@card_file2
·
Mar 26, 2022Replying to 
@ajthompson13
Be sure to tell Mark that I bought more Newmont Corp.",,,
Insider Alerts,@InsiderAlerts4U,2022-03-25T22:28:24.000Z,"Insider Alerts
@InsiderAlerts4U
·
Mar 25, 2022$NEM:

New Insider Filing on NEWMONT Corp /DE/'s

EVP & CTO

DEAN GEHRING:

https://insideri.com/1164727_000106299322008643_0001062993-22-008643…",,,
Stock Traders Daily,@marketcycles,2022-03-25T21:54:04.000Z,"Stock Traders Daily
@marketcycles
·
Mar 25, 2022Newmont Corp NEM Trading Report: Stock Traders Daily has produced this trading report using a proprietary method.  This methodology [...] http://dlvr.it/SMNWSH Click for Details
news.stocktradersdaily.com
$NEM | Newmont Corp $NEM Trading Report (NEM)
Buy Newmont Corp ($NEM) over 67.31 target n/a stop loss @ 67.12. Details
1",,1,
Stock Traders Daily,@marketcycles,2022-03-25T21:45:11.000Z,"Stock Traders Daily
@marketcycles
·
Mar 25, 2022$NEM | Newmont Corp $NEM Trading Report (NEM) https://tinyurl.com/ybk8yco2",,,
Global Mining Review,@Mining_Review,2022-03-25T11:35:22.000Z,"Global Mining Review
@Mining_Review
·
Mar 25, 2022.
@NewmontCorp
 Coffee Gold Project approved by federal and territorial governments #GMR #gold #environment
globalminingreview.com
Newmont Coffee Gold Project approved by federal and territorial governments
Newmont Corp. has announced that the governments of Yukon and Canada have jointly accepted the recommendation the Coffee Gold Project be allowed to proceed by the Yukon Environmental Socioeconomic...",,,
Jet Li,@JetLigoodman,2022-03-25T00:43:07.000Z,"Jet Li
@JetLigoodman
·
Mar 25, 2022Replying to 
@NewmontCorp
exactly",,,
goldsheet,@goldsheet,2022-03-24T19:22:49.000Z,"goldsheet
@goldsheet
·
Mar 24, 2022The London-quoted equity of Ariana Resources (AIM: AAU) gained more than 10% on Thursday after it announced an exploration alliance with the world’s biggest gold producer, Newmont Corp (NYSE: NEM; TSX: NGT).

The alliance will focus on copper and gold ex…
mining.com
Ariana Resources rises on Newmont exploration alliance
Newmont will invest $2.5 million to kickstart the exploration alliance’s activity in the Tethyan Belt.",,,
Newmont Corporation,@NewmontCorp,2022-03-24T18:21:02.000Z,"Newmont Corporation
@NewmontCorp
·
Mar 24, 2022At the recent 
@BMOmetalsmining
 conference, Newmont President and CEO Tom Palmer joined 
@ICMM_com
 CEO 
@RohiteshDhawan
 and 
@valeglobal
 CEO Eduardo Bartolomeo to discuss social performance in the industry. Watch the panel discussion here: https://bit.ly/3L7dJjs
1
6",,1,6
Simon te Brinke,@gramercypark,2022-03-24T15:27:25.000Z,"Simon te Brinke
@gramercypark
·
Mar 24, 2022Replying to 
@AlexAtkins17
 @coursera
 and 3 others
Look forward to hearing about this AA 
1",,,1
MiningWeeklyCA,@MiningWeeklyCA,2022-03-24T14:01:21.000Z,"MiningWeeklyCA
@MiningWeeklyCA
·
Mar 24, 2022.
@NewmontCorp
 in #exploration alliance with 
@ArianaResources
, focusing on 'under-explored' south-eastern Europe. 
http://ow.ly/ziZJ50Irf3K
#Europe #exploration #gold #copper #mining
1",,,1
