User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Momar Dieng,@bayemomardieng,2022-04-27T23:34:44.000Z,"Momar Dieng
@bayemomardieng
·
Apr 28, 2022Russie: ""début de repli"" pour TotalEnergies, qui déprécie ses actifs sur le projet Arctic LNG 2
impact.sn
Russie: ""début de repli"" pour TotalEnergies, qui déprécie ses actif...
TotalEnergies, soumis à des critiques pour son maintien au Russie, a entamé ""un début de repli"" en annonçant mercredi une dépréciation de 4,1 milliards de dollars d'actifs concernant notamment l...",,,
Gas Processing,@Gas_Processing,2022-04-27T23:00:34.000Z,"Gas Processing
@Gas_Processing
·
Apr 28, 2022TotalEnergies SE decided to no longer book proved reserves for the Arctic LNG 2 project.
#LNG #ArcticLNG #TotalEnergies

Read more: http://ow.ly/Gahb50ITSea
1
2",,1,2
Thomas Bonte,@Thomas__Bonte,2022-04-27T22:02:18.000Z,"Thomas Bonte
@Thomas__Bonte
·
Apr 28, 2022(les conséquences restent hautement casuistique et doivent être observées en tant que telles...néanmoins pour certaines entreprises les conséquences sont exceptionnelles)TotalEnergies a indiqué mercredi avoir inscrit dans se…https://lnkd.in/entCejHG
latribune.fr
Facture salée pour TotalEnergies en Russie : le pétrolier fait une dépréciation d'actifs de 4,1...
TotalEnergies a indiqué mercredi avoir inscrit dans ses comptes du premier trimestre 2022 une provision de 4,1 milliards de dollars, que le groupe dit imputable aux incertitudes que font peser les...
1
1",,1,1
Robot De l'Info,@RDelinfo,2022-04-27T21:49:12.000Z,"Robot De l'Info
@RDelinfo
·
Apr 27, 2022Russie: ""début de repli"" pour TotalEnergies, qui déprécie ses actifs sur le projet Arctic LNG 2 - https://1001rss.com/russie-debut-de-repli-pour-totalenergies-qui-deprecie-ses-actifs-sur-le-projet-arctic-lng-2_811065/2022/04/27/…
TotalEnergies, soumis à des critiques pour son maintien au Russie, a entamé ""un début de repli"" en annonçant mercredi une dépréciation de 4,1 milliards de...",,,
goldsheet,@goldsheet,2022-04-27T21:07:44.000Z,"goldsheet
@goldsheet
·
Apr 27, 2022French TotalEnergies will include a $4.1-million impairment on its balance sheet over Russia sanctions that have led to difficulties with its massive Arctic LNG2 project, the company said on Wednesday. TotalEnergies SE has decided to no longer book prove…
oilprice.com
TotalEnergies Books $4.1 Billion Impairment Charge On Arctic LNG 2 Exit | OilPrice.com
French TotalEnergies will include a $4.1-million impairment on its balance sheet over Russia sanctions that have led to difficulties with its massive Arctic LNG2 project",,,
Sébastien Daziano,@sdaziano,2022-04-27T20:23:14.000Z,"Sébastien Daziano
@sdaziano
·
Apr 27, 2022Comment TotalEnergies se renforce dans les renouvelables aux Etats-Unis 
lesechos.fr
Comment TotalEnergies se renforce dans les renouvelables aux Etats-Unis
Le pétrolier fait l'acquisition d'un vaste portefeuille de projets dans le solaire et dans le stockage de 4 gigawatts à construire outre-Atlantique.",,,
artificialdonkey,@yapayesek,2022-04-27T18:58:08.000Z,"artificialdonkey
@yapayesek
·
Apr 27, 2022Bloomberg: TotalEnergies SE, yaptırımlar nedeniyle Rus sıvılaştırılmış doğal gaz projesinin belirsiz geleceğini yansıtmak için 4,1 milyar dolarlık bir değer düşüklüğü alacak
bloomberg.com
TotalEnergies Starts Pullback From Russia With $4 Billion Charge
TotalEnergies SE took a $4.1 billion writedown on its flagship Russian gas project and indicated that it may belatedly join its peers in pulling back from the country two months after the invasion of...",,,
Bloomberg,@business,2022-04-27T18:58:02.000Z,"Bloomberg
@business
·
Apr 27, 2022TotalEnergies SE will take a $4.1 billion writedown to reflect the uncertain future of its Russian liquefied natural gas project due to sanctions
bloomberg.com
TotalEnergies Starts Pullback From Russia With $4 Billion Charge
TotalEnergies SE took a $4.1 billion writedown on its flagship Russian gas project and indicated that it may belatedly join its peers in pulling back from the country two months after the invasion of...
2
4
13",2,4,13
FiX,@FXDQ,2022-04-27T18:56:50.000Z,"FiX
@FXDQ
·
Apr 27, 202210 % des capacités renouvelables du groupe en 2025
Comment TotalEnergies se renforce dans les renouvelables aux Etats-Unis
lesechos.fr
Comment TotalEnergies se renforce dans les renouvelables aux Etats-Unis
Le pétrolier fait l'acquisition d'un vaste portefeuille de projets dans le solaire et dans le stockage de 4 gigawatts à construire outre-Atlantique.",,,
Bloomberg Asia,@BloombergAsia,2022-04-27T18:49:33.000Z,"Bloomberg Asia
@BloombergAsia
·
Apr 27, 2022TotalEnergies SE will take a $4.1 billion writedown to reflect the uncertain future of its Russian liquefied natural gas project due to sanctions https://trib.al/MXv9GZH
2",,,2
Saiko,@Saikeau,2022-04-27T18:31:45.000Z,"Saiko
@Saikeau
·
Apr 27, 2022Russie : TotalEnergies inscrit dans ses comptes du premier trimestre 2022 une provision de 4,1 milliards de dollars https://zonebourse.com/cours/action/TOTALENERGIES-SE-4717/actualite/Russie-TotalEnergies-inscrit-dans-ses-comptes-du-premier-trimestre-2022-une-provision-de-4-1-milli-40173360/?utm_medium=RSS&utm_content=20220427…",,,
BW_France,@BW_French,2022-04-27T17:56:04.000Z,"BW_France
@BW_French
·
Apr 27, 2022Russie : TotalEnergies inscrit dans ses comptes du premier trimestre 2022 une provision de 4,1 milliards de dollars http://dlvr.it/SPM037",,,
pascalou,@louloupascal75,2022-04-27T17:54:46.000Z,"pascalou
@louloupascal75
·
Apr 27, 2022Russie : 
@TotalEnergies
 enregistre une dépréciation de 4,1 G$ dans ses comptes du T1 2022
1",,,1
TotalEnergies Press,@TotalEnergiesPR,2022-04-27T17:51:58.000Z,"TotalEnergies Press
@TotalEnergiesPR
·
Apr 27, 2022Russie : 
@TotalEnergies
 inscrit dans ses comptes du premier trimestre 2022 une provision de 4,1 milliards $
https://bit.ly/3LqZ3fy
1
5
8",1,5,8
Boursier.com,@Boursier_com,2022-04-27T17:51:02.000Z,"Boursier.com
@Boursier_com
·
Apr 27, 2022TotalEnergies inscrit dans ses comptes du T1 une provision de 4,1 MdsE
https://boursier.com/actions/actualites/news/totalenergies-inscrit-dans-ses-comptes-du-t1-une-provision-de-4-1-mdse-874927.html…
#bourse #finance $TTE
boursier.com
TotalEnergies inscrit dans ses comptes du T1 une provision de 4,1 MdsE
Russie : TotalEnergies inscrit dans ses comptes du premier trimestre 2022 une provision de 4,1 milliards de dollars TotalEnergies a annoncé que,...",,,
CFDT TotalÉnergies,@CfdtTEnergies,2022-04-27T17:50:04.000Z,"CFDT TotalÉnergies
@CfdtTEnergies
·
Apr 27, 2022 Russie #TotalEnergies inscrit dans ses comptes du premier trimestre 2022 une provision de 4,1 milliards de dollars ! CdP 
5
6",,5,6
Les Echos,@LesEchos,2022-04-27T17:23:41.000Z,"Les Echos
@LesEchos
·
Apr 27, 2022Comment TotalEnergies se renforce dans les renouvelables aux Etats-Unis
lesechos.fr
Comment TotalEnergies se renforce dans les renouvelables aux Etats-Unis
Le pétrolier fait l'acquisition d'un vaste portefeuille de projets dans le solaire et dans le stockage de 4 gigawatts à construire outre-Atlantique.
1
4
2",1,4,2
